time_ms,angle,fsr_raw,fsr_voltage
20,180,2,0.0016
40,179,2,0.0016
60,178,0,0.0000
80,177,1,0.0008
100,176,4,0.0032
120,175,27,0.0218
140,174,4,0.0032
160,173,1,0.0008
180,172,2,0.0016
200,171,2,0.0016
220,170,23,0.0185
240,169,0,0.0000
260,168,3,0.0024
280,167,2,0.0016
300,166,1,0.0008
320,165,20,0.0161
340,164,2,0.0016
360,163,5,0.0040
380,162,1,0.0008
400,161,2,0.0016
420,160,3,0.0024
440,159,1,0.0008
460,158,4,0.0032
480,157,6,0.0048
500,156,3,0.0024
520,155,3,0.0024
540,154,2,0.0016
560,153,5,0.0040
580,152,3,0.0024
600,151,22,0.0177
620,150,1,0.0008
640,149,6,0.0048
660,148,76,0.0612
680,147,4,0.0032
700,146,3,0.0024
720,145,0,0.0000
740,144,22,0.0177
760,143,1,0.0008
780,142,4,0.0032
800,141,2,0.0016
820,140,95,0.0766
840,139,3,0.0024
860,138,2,0.0016
880,137,3,0.0024
900,136,2,0.0016
920,135,1,0.0008
940,134,90,0.0725
960,133,42,0.0338
980,132,3,0.0024
1000,131,4,0.0032
1020,130,2,0.0016
1040,129,3,0.0024
1060,128,1,0.0008
1080,127,3,0.0024
1100,126,3,0.0024
1120,125,2,0.0016
1140,124,2,0.0016
1160,123,2,0.0016
1180,122,2,0.0016
1200,121,2,0.0016
1220,120,3,0.0024
1240,119,22,0.0177
1260,118,1,0.0008
1280,117,18,0.0145
1300,116,2,0.0016
1320,115,2,0.0016
1340,114,2,0.0016
1360,113,19,0.0153
1380,112,3,0.0024
1400,111,5,0.0040
1420,110,6,0.0048
1440,109,2,0.0016
1460,108,30,0.0242
1480,107,3,0.0024
1500,106,3,0.0024
1520,105,1,0.0008
1540,104,5,0.0040
1560,103,2,0.0016
1580,102,39,0.0314
1600,101,1,0.0008
1620,100,19,0.0153
1640,99,4,0.0032
1660,98,5,0.0040
1680,97,3,0.0024
1700,96,8,0.0064
1720,95,40,0.0322
1740,94,3,0.0024
1760,93,4,0.0032
1780,92,2,0.0016
1800,91,20,0.0161
1820,90,0,0.0000
1840,89,5,0.0040
1860,88,1,0.0008
1880,87,24,0.0193
1900,86,2,0.0016
1920,85,2,0.0016
1940,84,2,0.0016
1960,83,2,0.0016
1980,82,3,0.0024
2000,81,21,0.0169
2020,80,2,0.0016
2040,79,27,0.0218
2060,78,2,0.0016
2080,77,1,0.0008
2100,76,0,0.0000
2120,75,3,0.0024
2140,74,8,0.0064
2160,73,2,0.0016
2180,72,7,0.0056
2200,71,2,0.0016
2220,70,2,0.0016
2240,69,3,0.0024
2260,68,7,0.0056
2280,67,1,0.0008
2300,66,25,0.0201
2320,65,5,0.0040
2340,64,2,0.0016
2360,63,2,0.0016
2380,62,7,0.0056
2400,61,3,0.0024
2420,60,0,0.0000
2440,59,3,0.0024
2460,58,1,0.0008
2480,57,2,0.0016
2500,56,3,0.0024
2520,55,2,0.0016
2540,54,2,0.0016
2560,53,2,0.0016
2580,52,1,0.0008
2600,51,16,0.0129
2620,50,2,0.0016
2640,49,3,0.0024
2660,48,1,0.0008
2680,47,4,0.0032
2700,46,2,0.0016
2720,45,5,0.0040
2740,44,3,0.0024
2760,43,4,0.0032
2780,42,1,0.0008
2800,41,23,0.0185
2820,40,4,0.0032
2840,39,61,0.0492
2860,38,126,0.1015
2880,37,2,0.0016
2900,36,31,0.0250
2920,35,3,0.0024
2940,34,2,0.0016
2960,33,3,0.0024
2980,32,3,0.0024
3000,31,2,0.0016
3020,30,89,0.0717
3040,29,6,0.0048
3060,28,2,0.0016
3080,27,4,0.0032
3100,26,30,0.0242
3120,25,6,0.0048
3140,24,171,0.1378
3160,23,4,0.0032
3180,22,77,0.0621
3200,21,57,0.0459
3220,20,7,0.0056
3240,19,233,0.1878
3260,18,5,0.0040
3280,17,215,0.1733
3300,16,74,0.0596
3320,15,42,0.0338
3340,14,295,0.2377
3360,13,22,0.0177
3380,12,238,0.1918
3400,11,155,0.1249
3420,10,185,0.1491
3440,9,318,0.2563
3460,8,174,0.1402
3480,7,360,0.2901
3500,6,74,0.0596
3520,5,334,0.2692
3540,4,280,0.2256
3560,3,408,0.3288
3580,2,408,0.3288
3600,1,350,0.2821
3620,0,182,0.1467
